ApplicationId,Year,Amount
1085981,2015,196271
1085996,2015,196271
1086020,2015,188164
1086082,2015,220058
1086083,2015,117359
1086100,2015,206743
1086141,2015,459198
1086145,2015,206271
1086178,2015,194718
1086181,2015,181646
1086188,2015,409178
1086192,2015,149055
1086227,2015,189718
1086256,2015,181271
1086267,2015,172112
1086291,2015,197824
1086302,2015,275829
1086311,2015,193164
1086386,2015,412887
1086451,2015,168369
1086530,2015,139182
1086540,2015,257451
1086580,2015,138726
1086643,2015,95466
1086656,2015,102359
1086662,2015,207723
1086673,2015,240000
1086683,2015,464275
1086685,2015,132359
1086727,2015,211271
1086732,2015,162699
1086754,2015,171815
1086770,2015,127359
1086774,2015,321194
1086786,2015,306537
1086796,2015,158709
1086804,2015,314717
1086817,2015,196144
1086850,2015,227825
1086851,2015,299714
1086855,2015,80805
1086865,2015,222187
1086887,2015,189718
1086952,2015,643778
1087006,2015,195622
1087045,2015,232270
1087125,2015,199718
1087192,2015,296338
1087200,2015,299829
1087224,2015,204718
1087248,2015,255898
1087271,2015,174167
1087290,2015,139595
1087297,2015,129167
1087308,2015,197824
1087341,2015,191646
1087355,2015,130196
1087407,2015,419520
1087408,2015,214378
1087560,2015,139352
1087665,2015,135805
1087683,2015,379265
1087689,2015,135466
1087700,2015,128690
1087713,2015,173369
1087735,2015,166842
1087743,2015,238165
1087781,2015,325353
1087850,2015,216271
1087889,2015,52733
1087972,2015,217042
1087986,2015,439741
1088005,2015,151985
1088076,2015,237539
1088118,2015,122359
1088122,2015,257354
1088123,2015,70000
1088144,2015,215346
1088214,2015,182825
1088215,2015,142613
1088242,2015,165466
1088353,2015,216271
1088377,2015,101280
1088390,2015,201271
1088405,2015,303187
1088419,2015,176788
1088455,2015,416690
1088489,2015,148814
1088517,2015,501642
1088564,2015,239174
1088646,2015,245932
1088683,2015,245774
1088711,2015,218164
1088826,2015,132288
1088902,2015,199548
1088931,2015,210746
1088952,2015,137910
1089056,2015,421881
1089104,2015,191180
1089138,2015,183164
1089167,2015,128879
1089252,2015,150466
1089270,2015,130466
1089404,2015,712825
1089497,2015,226271
1089838,2015,145466
1090116,2015,282825
1090122,2015,86456
1090198,2015,86456
1091641,2015,86456
1091695,2015,86456
1091833,2015,86456
1092085,2015,86456
1092266,2015,86456
1092508,2015,86456
1092560,2015,86456
1092680,2015,86456
1078477,2015,52536
1078483,2015,91937
1078567,2015,110287
1078980,2015,110287
1079329,2015,91937
1079388,2015,110287
1079478,2015,110287
1079777,2015,78803
1079785,2015,110287
1079842,2015,91937
1080518,2015,78803
1080820,2015,91937
1081884,2015,110287
1082186,2015,65670
1082548,2015,110287
1083920,2015,91937
1084178,2015,94532
1077633,2015,122329
1077636,2015,150162
1077677,2015,122329
1077691,2015,122329
1077694,2015,150162
1077703,2015,122329
1077867,2015,167383
1077934,2015,135162
1077966,2015,135162
1078029,2015,182383
1078037,2015,177383
1078061,2015,182383
1078164,2015,135162
1078168,2015,137329
1078186,2015,122329
1078220,2015,122329
1078243,2015,167383
1078360,2015,122329
1078399,2015,147996
1078407,2015,147996
1078494,2015,122329
1078523,2015,150162
1078541,2015,135162
1078671,2015,182383
1078730,2015,182383
1078737,2015,182383
1078752,2015,167383
1078808,2015,182383
1078901,2015,147996
1078985,2015,122329
1079004,2015,122329
1079133,2015,122329
1079136,2015,167383
1079187,2015,162996
1079238,2015,162996
1079257,2015,147996
1079267,2015,137329
1079301,2015,137329
1079352,2015,135162
1079400,2015,167383
1079422,2015,135162
1079438,2015,135162
1079467,2015,122329
1079492,2015,162996
1079561,2015,167383
1079611,2015,135162
1079621,2015,137329
1079646,2015,135162
1079679,2015,182383
1079700,2015,122329
1079715,2015,137329
1079904,2015,122329
1079929,2015,147996
1080001,2015,135162
1080042,2015,167383
1080206,2015,147996
1080321,2015,162996
1080404,2015,137329
1080593,2015,147996
1080806,2015,122329
1080856,2015,182383
1080887,2015,167383
1080963,2015,122329
1081143,2015,167383
1081175,2015,147996
1081288,2015,122329
1081328,2015,122329
1081334,2015,162996
1081356,2015,167383
1081421,2015,122329
1081858,2015,167383
1082045,2015,147996
1082138,2015,182383
1082141,2015,167383
586607,2015,135162
586651,2015,147996
586675,2015,122329
596825,2015,122329
603104,2015,122329
603124,2015,122329
606411,2015,122329
613638,2015,167383
613674,2015,135162
620500,2015,137329
626906,2015,122329
627002,2015,135162
628319,2015,122329
628386,2015,182383
628426,2015,135162
628471,2015,162996
630445,2015,122329
631384,2015,122329
631386,2015,147996
631421,2015,135162
632900,2015,162966
632909,2015,135162
634304,2015,135162
1076729,2015,402938
1076774,2015,159975
1076796,2015,274536
1076817,2015,244946
585458,2015,147996
586656,2015,167383
595913,2015,167383
634341,2015,147996
637306,2015,147996
1082894,2016,102942
1082910,2016,102942
1082922,2016,56932
1082924,2016,102942
1082934,2016,102942
1082989,2016,113863
1083009,2016,113863
1083057,2016,102942
1083090,2016,113863
1083101,2016,45545
1083105,2016,61765
1083136,2016,113863
1083298,2016,113863
1083309,2016,102942
1083311,2016,102942
1083394,2016,102942
1083572,2016,102942
1083656,2016,102942
1083811,2016,113863
1084163,2016,113863
1084254,2016,51471
1084344,2016,113863
1084351,2016,113863
1084417,2016,102942
1084706,2016,102942
1084816,2016,102942
1084927,2016,113863
1085203,2016,113863
1085509,2016,113863
1085662,2016,102942
1085752,2016,102942
1085754,2016,102942
1085842,2016,113863
1085984,2016,102942
1086029,2016,102942
1086825,2016,113863
1086977,2016,102942
1086993,2016,102942
1087062,2016,102942
1087114,2016,113863
1087172,2016,102942
1087836,2016,113863
1087957,2016,102942
1087975,2016,113863
1088737,2016,113863
1088855,2016,102942
1088966,2016,102942
1089039,2016,102942
1089966,2016,102942
1090148,2016,102942
1090221,2016,102942
1090236,2016,113863
1090415,2016,102942
1090440,2016,102942
1090445,2016,113863
1090456,2016,113863
1090505,2016,102942
1090507,2016,102942
1077898,2016,667229
1078046,2016,514942
1078068,2016,578454
1078106,2016,614309
1078190,2016,493158
1078444,2016,506113
1078557,2016,598251
1078579,2016,593915
1078609,2016,500093
1078927,2016,736462
1079022,2016,561986
1079078,2016,514200
1079102,2016,495072
1079421,2016,706723
1079502,2016,641310
1079625,2016,574058
1079648,2016,518227
1079864,2016,524505
1080401,2016,460295
1088279,2016,64651.3
1088295,2016,77359
1088313,2016,77359
1088318,2016,119279
1088334,2016,91211
1088366,2016,77359
1088389,2016,87779
1088426,2016,77359
1088436,2016,77359
1088448,2016,96767
1088449,2016,91751
1088535,2016,91211
1088634,2016,77359
1088673,2016,85091
1088703,2016,77359
1088733,2016,77359
1088735,2016,64651.3
1088738,2016,64651.3
1088785,2016,77359
1088813,2016,77359
1088930,2016,77359
1088964,2016,77359
1089072,2016,77359
1089250,2016,77359
1089395,2016,77359
1089398,2016,46179.5
1089403,2016,77359
1089415,2016,38679.5
1089698,2016,108563
1089718,2016,77359
1089763,2016,77359
1089853,2016,92359
1089898,2016,46179.5
1090035,2016,77359
1090108,2016,77359
1090129,2016,77359
1090146,2016,77359
1090184,2016,77359
1090204,2016,125987
1090229,2016,135514
1090302,2016,64651.3
1090351,2016,77359
1090403,2016,77359
1090408,2016,77359
1090428,2016,135357
1090444,2016,99179
1090462,2016,77359
1090500,2016,46179.5
1090510,2016,92359
1090517,2016,77359
1090521,2016,77359
1090612,2016,100511
1090644,2016,77359
1090648,2016,77359
1090678,2016,64651.3
1090694,2016,125935
1090716,2016,109895
1090759,2016,77359
1090778,2016,84859
1090828,2016,54151.3
1090875,2016,100511
1090888,2016,77359
1090890,2016,87359
1090898,2016,77359
1090904,2016,81109
1090906,2016,46179.5
1090952,2016,110134
1090992,2016,77359
1090993,2016,100511
1090997,2016,92359
1091003,2016,77359
1091006,2016,77359
1091011,2016,77359
1091097,2016,95651
1091158,2016,38679.5
1091211,2016,90455
1091221,2016,77359
1091226,2016,77359
1091257,2016,108563
1091310,2016,91211
1091387,2016,46179.5
1091415,2016,139234
1091418,2016,92359
1091516,2016,77359
1091520,2016,77359
1091536,2016,92359
1091544,2016,89783
1091551,2016,64651.3
1091571,2016,143411
1091586,2016,77359
1091589,2016,77359
1091628,2016,46415.4
1091636,2016,77359
1091657,2016,77359
1091688,2016,77359
1091733,2016,38679.5
1091734,2016,77359
1091751,2016,92359
1091816,2016,77359
1091843,2016,125987
1091855,2016,84859
1091878,2016,77359
1091911,2016,108563
1091948,2016,110651
1091976,2016,77359
1092005,2016,77359
1092023,2016,77359
1092028,2016,92359
1092046,2016,77359
1092066,2016,77359
1092077,2016,97835
